id;name;failure_date;car_guagefrom;car_guage_to;changepart;garage_name;price;inovice_1;inovice_2;inovice_3;inovice_4;note;image;image_content_type
1;AI yellow Factors;2021-11-29;77972;78776;Oklahoma;Rial;83187;installation;capacity;modular Industrial;Clothing Public-key;foreground HTTP strategize;../fake-data/blob/hipster.png;image/png
2;Computer;2021-11-29;59447;24355;deposit;Planner Data;36835;networks Steel;projection ADP Cotton;Incredible;relationships monetize Awesome;SMTP;../fake-data/blob/hipster.png;image/png
3;Soft Borders;2021-11-29;9858;31138;Singapore Concrete gold;system-worthy;81075;Integrated Pennsylvania state;optical Right-sized Soft;Quality;North bus;Massachusetts infomediaries;../fake-data/blob/hipster.png;image/png
4;SMTP programming;2021-11-29;63313;89724;Shirt;calculate turn-key;64028;Tuna Platinum;Holy mobile;Optimized;initiatives Multi-tiered Fresh;Concrete Hat;../fake-data/blob/hipster.png;image/png
5;invoice Games;2021-11-29;49801;62638;olive Berkshire;feed Designer online;28318;Product;SQL Regional;green;FTP;deliver;../fake-data/blob/hipster.png;image/png
6;York deposit USB;2021-11-29;6916;56965;Practical;sticky Rupee firmware;54287;compressing;Turkmenistan compressing multi-byte;Clothing;approach;Unbranded Barthelemy;../fake-data/blob/hipster.png;image/png
7;array;2021-11-29;16487;4694;Oregon Greece Investor;collaboration redefine exploit;56536;Quality-focused Account maroon;Loan Refined;Cotton;online Bangladesh;Gorgeous integrated;../fake-data/blob/hipster.png;image/png
8;Botswana Niue Maine;2021-11-29;80982;86628;program Fundamental Account;Avon interface;13666;blue Forint;Account haptic;cyan Metrics;syndicate ivory Soap;neutral web-enabled;../fake-data/blob/hipster.png;image/png
9;attitude-oriented XSS Books;2021-11-29;88786;58361;Avon deposit Mississippi;Developer adapter;95048;architectures;e-enable product;modular Som;invoice vertical;input navigating;../fake-data/blob/hipster.png;image/png
10;Licensed Rubber Credit;2021-11-29;29623;18049;feed program;systemic collaborative Awesome;53909;HDD proactive;Maryland killer users;Berkshire National Minnesota;sky Fantastic application;directional productivity wireless;../fake-data/blob/hipster.png;image/png
