id;name;supplierdate;quantity;item;note
1;Croatian Springs Cambridgeshire;2021-11-29;89849;haptic lavender Checking;array
2;Soft Avon world-class;2021-11-29;14176;Rubber USB Avon;Isle
3;Producer;2021-11-29;61829;navigate grid-enabled Salad;Account Soft
4;neural Investment Glens;2021-11-29;21639;Steel Bahamian;Sports
5;Tuvalu Officer Ball;2021-11-29;17478;white deposit;leading
6;Markets;2021-11-29;35789;optical;navigating Card
7;COM SCSI hard;2021-11-29;18234;Koruna Focused;Plastic deposit Solutions
8;Investor;2021-11-29;29823;Convertible Liaison;transmit Bedfordshire
9;withdrawal Auto programming;2021-11-29;83880;Bridge;deliver Licensed Metal
10;Adaptive;2021-11-29;3610;Plastic;exploit Marketing Malaysia
